codigo,categoria,descricao
A00.0,Cólera,"Cólera devida a Vibrio cholerae 01, biótipo cholerae"
A00.1,Cólera,"Cólera devida a Vibrio cholerae 01, biótipo El Tor"
A00.9,Cólera,Cólera não especificada
A01.0,Febres tifóide e paratifóide,Febre tifóide
A01.1,Febres tifóide e paratifóide,Febre paratifóide A
A01.2,Febres tifóide e paratifóide,Febre paratifóide B
A01.3,Febres tifóide e paratifóide,Febre paratifóide C
A01.4,Febres tifóide e paratifóide,Febre paratifóide não especificada
A02.0,Outras infecções por Salmonella,Enterite por salmonela
A02.1,Outras infecções por Salmonella,Septicemia por salmonela
A02.2,Outras infecções por Salmonella,Infecções localizadas por salmonela
A02.8,Outras infecções por Salmonella,Outras infecções especificadas por salmonela
A02.9,Outras infecções por Salmonella,Infecção não especificada por salmonela
A03.0,Shiguelose,Shiguelose devida a Shigella dysenteriae
A03.1,Shiguelose,Shiguelose devida a Shigella flexneri
A03.2,Shiguelose,Shiguelose devida a Shigella boydii
A03.3,Shiguelose,Shiguelose devida a Shigella sonnei
A03.8,Shiguelose,Outras shigueloses
A03.9,Shiguelose,Shiguelose não especificada
A04.0,Outras infecções intestinais bacterianas,Infecção por Escherichia coli enteropatogênica
A04.1,Outras infecções intestinais bacterianas,Infecção por Escherichia coli enterotoxigênica
A04.2,Outras infecções intestinais bacterianas,Infecção por Escherichia coli enteroinvasiva
A04.3,Outras infecções intestinais bacterianas,Infecção por Escherichia coli enterohemorrágica
A04.4,Outras infecções intestinais bacterianas,Outras infecções intestinais por Escherichia coli
A04.5,Outras infecções intestinais bacterianas,Enterite por Campylobacter
A04.6,Outras infecções intestinais bacterianas,Enterite devida a Yersinia enterocolítica
A04.7,Outras infecções intestinais bacterianas,Enterocolite devida a Clostridium difficile
A04.8,Outras infecções intestinais bacterianas,Outras infecções bacterianas intestinais especificadas
A04.9,Outras infecções intestinais bacterianas,Infecção intestinal bacteriana não especificada
A05.0,Outras intoxicações alimentares bacterianas,Intoxicação alimentar estafilocócica
A05.1,Outras intoxicações alimentares bacterianas,Botulismo
A05.2,Outras intoxicações alimentares bacterianas,Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii]
A05.3,Outras intoxicações alimentares bacterianas,Intoxicação alimentar devida a Vibrio parahemolyticus
A05.4,Outras intoxicações alimentares bacterianas,Intoxicação alimentar devida a Bacillus cereus
A05.8,Outras intoxicações alimentares bacterianas,Outras intoxicações alimentares bacterianas especificadas
A05.9,Outras intoxicações alimentares bacterianas,Intoxicação alimentar bacteriana não especificada
A06.0,Amebíase,Disenteria amebiana aguda
A06.1,Amebíase,Amebíase intestinal crônica
A06.2,Amebíase,Colite amebiana não-disentérica
A06.3,Amebíase,Ameboma intestinal
A06.4,Amebíase,Abscesso amebiano do fígado
A06.5,Amebíase,Abscesso amebiano do pulmão
A06.6,Amebíase,Abscesso amebiano do cérebro
A06.7,Amebíase,Amebíase cutânea
A06.8,Amebíase,Infecção amebiana de outras localizações
A06.9,Amebíase,Amebíase não especificada
A07.0,Outras doenças intestinais por protozoários,Balantidíase
A07.1,Outras doenças intestinais por protozoários,Giardíase [lamblíase]
A07.2,Outras doenças intestinais por protozoários,Criptosporidiose
A07.3,Outras doenças intestinais por protozoários,Isosporíase
A07.8,Outras doenças intestinais por protozoários,Outras doenças intestinais especificadas por protozoários
A07.9,Outras doenças intestinais por protozoários,Doença intestinal não especificada por protozoários
A08.0,Infecções intestinais virais,Enterite por rotavírus
A08.1,Infecções intestinais virais,Gastroenteropatia aguda pelo agente de Norwalk
A08.2,Infecções intestinais virais,Enterite por adenovírus
A08.3,Infecções intestinais virais,Outras enterites virais
